,Name,Average(joule),Standart deviation(%),Standart deviation(J),Min,Max,Average(alljoule),Time(s),Joule/sec,Run count
87,cs-6.problem1,991.4323552832105,2.516802997526427,24.9523992362147,896.5186891774891,1034.082123938879,2487.125428571428,9.057095238095236,109.46471569749276,21
88,cs-1.problem2,141.6411360031879,2.94465356477778,4.170840760509616,135.00773990442056,149.08530576546323,610.6939841269841,2.8404285714285713,49.86611437018133,21
89,cs-2.problem2,148.54123966385373,7.143338122619916,10.61080300072028,131.1112257929883,161.69957130657534,1210.6914431818182,6.446090909090907,23.04361538779516,22
90,cs-3.problem2,135.50497433747398,2.5546847487400006,3.4617249131834997,128.49687795275585,141.63810221870045,630.9850964912281,3.018666666666667,44.88901535031161,19
91,cs-4.problem2,116.71141507405787,15.697886923785523,18.321225965475577,87.23808887088047,138.40380331890356,1427.3901893939396,7.9531212121212125,14.674919690168943,22
92,cs-1.problem3,244.0836119963497,2.0177534713993297,4.925005554173216,233.67209320829798,254.6228612903224,670.4969920634921,2.5889841269841267,94.27775529882427,21
93,cs-2.problem3,1757.8837727148557,11.188011495222312,196.67223856398573,1452.4336393769947,1982.91341077738,14301.520102272729,76.11338636363638,23.09559272946362,22
94,cs-3.problem3,241.2077943709316,1.4239085520380865,3.4345784122301373,233.61733605410475,248.02016532258048,631.29514375,2.369075,101.81517865450928,20
95,cs-4.problem3,241.8531921050153,4.988189314064508,12.06409508430628,222.5956485799701,261.13097200211325,710.5069523809523,2.849809523809524,84.86644110225113,21
96,cs-5.problem3,274.15727227713717,1.3792017784321478,3.7811819749473417,266.8254815292096,284.00763334724536,678.1229761904763,2.446392857142857,112.06592247711413,21
97,cs-6.problem3,237.23843955762294,5.665071043617855,13.439726143709745,210.39842645739918,262.4261300085252,691.8867196969696,2.76110606060606,85.92152360331617,22
98,cs-1.problem4,461.77112490216354,11.315947481882713,52.25377798042785,383.8137084398976,528.0439204946996,4043.643090909091,21.734363636363636,21.246130442465635,22
99,cs-2.problem4,257.67969462689695,11.170495534767632,28.78409878230039,212.68356645056716,300.64314000000013,2435.747575,13.160649999999999,19.579556832443455,20
100,cs-3.problem4,247.05713781728744,11.514566506485947,28.447558442992207,202.565718800648,285.09690606060644,2373.8363809523808,12.877904761904764,19.18457562662898,21
